invoice_id,branch,city,customer_type,gender,product_line,unit_price,quantity,vat,total,dtme,tme,payment_method,cogs,gross_margin_pct,gross_income,rating,time_of_day,day_name,month_name,month_num,quarter
750-67-8428,A,Yangon,Member,Female,Health and beauty,74.69,7,26.1415,548.9715,2019-01-05,13:08:00,Ewallet,522.83,4.7619,548.9714725514264,9.1,afternoon,Saturday,January,1,2019Q1
226-31-3081,C,Naypyitaw,Normal,Female,Electronic accessories,15.28,5,3.82,80.22,2019-03-08,10:29:00,Cash,76.4,4.7619,80.21999598900021,9.6,morning,Friday,March,3,2019Q1
631-41-3108,A,Yangon,Normal,Male,Home and lifestyle,46.33,7,16.2155,340.5255,2019-03-03,13:23:00,Credit card,324.31,4.7619,340.52548297372584,7.4,afternoon,Sunday,March,3,2019Q1
123-19-1176,A,Yangon,Member,Male,Health and beauty,58.22,8,23.288,489.048,2019-01-27,20:33:00,Ewallet,465.76,4.7619,489.0479755476012,8.4,evening,Sunday,January,1,2019Q1
373-73-7910,A,Yangon,Normal,Male,Sports and travel,86.31,7,30.2085,634.3785,2019-02-08,10:37:00,Ewallet,604.17,4.7619,634.3784682810765,5.3,morning,Friday,February,2,2019Q1
699-14-3026,C,Naypyitaw,Normal,Male,Electronic accessories,85.39,7,29.8865,627.6165,2019-03-25,18:30:00,Ewallet,597.73,4.7619,627.6164686191765,4.1,evening,Monday,March,3,2019Q1
355-53-5943,A,Yangon,Member,Female,Electronic accessories,68.84,6,20.652,433.692,2019-02-25,14:36:00,Ewallet,413.04,4.7619,433.6919783154011,5.8,afternoon,Monday,February,2,2019Q1
315-22-5665,C,Naypyitaw,Normal,Female,Home and lifestyle,73.56,10,36.78,772.38,2019-02-24,11:38:00,Ewallet,735.6,4.7619,772.379961381002,8.0,morning,Sunday,February,2,2019Q1
665-32-9167,A,Yangon,Member,Female,Health and beauty,36.26,2,3.626,76.146,2019-01-10,17:15:00,Credit card,72.52,4.7619,76.14599619270018,7.2,evening,Thursday,January,1,2019Q1
692-92-5582,B,Mandalay,Member,Female,Food and beverages,54.84,3,8.226,172.746,2019-02-20,13:27:00,Credit card,164.52,4.7619,172.74599136270044,5.9,afternoon,Wednesday,February,2,2019Q1
351-62-0822,B,Mandalay,Member,Female,Fashion accessories,14.48,4,2.896,60.816,2019-02-06,18:07:00,Ewallet,57.92,4.7619,60.81599695920015,4.5,evening,Wednesday,February,2,2019Q1
529-56-3974,B,Mandalay,Member,Male,Electronic accessories,25.51,4,5.102,107.142,2019-03-09,17:03:00,Cash,102.04,4.7619,107.14199464290029,6.8,evening,Saturday,March,3,2019Q1
365-64-0515,A,Yangon,Normal,Female,Electronic accessories,46.95,5,11.7375,246.4875,2019-02-12,10:25:00,Ewallet,234.75,4.7619,246.4874876756256,7.1,morning,Tuesday,February,2,2019Q1
252-56-2699,A,Yangon,Normal,Male,Food and beverages,43.19,10,21.595,453.495,2019-02-07,16:48:00,Ewallet,431.9,4.7619,453.4949773252511,8.2,evening,Thursday,February,2,2019Q1
829-34-3910,A,Yangon,Normal,Female,Health and beauty,71.38,10,35.69,749.49,2019-03-29,19:21:00,Cash,713.8,4.7619,749.4899625255018,5.7,evening,Friday,March,3,2019Q1
299-46-1805,B,Mandalay,Member,Female,Sports and travel,93.72,6,28.116,590.436,2019-01-15,16:19:00,Cash,562.32,4.7619,590.4359704782015,4.5,evening,Tuesday,January,1,2019Q1
656-95-9349,A,Yangon,Member,Female,Health and beauty,68.93,7,24.1255,506.6355,2019-03-11,11:03:00,Credit card,482.51,4.7619,506.6354746682263,4.6,morning,Monday,March,3,2019Q1
765-26-6951,A,Yangon,Normal,Male,Sports and travel,72.61,6,21.783,457.443,2019-01-01,10:39:00,Credit card,435.66,4.7619,457.4429771278512,6.9,morning,Tuesday,January,1,2019Q1
329-62-1586,A,Yangon,Normal,Male,Food and beverages,54.67,3,8.2005,172.2105,2019-01-21,18:00:00,Credit card,164.01,4.7619,172.2104913894754,8.6,evening,Monday,January,1,2019Q1
319-50-3348,B,Mandalay,Normal,Female,Home and lifestyle,40.3,2,4.03,84.63,2019-03-11,15:30:00,Ewallet,80.6,4.7619,84.62999576850021,4.4,afternoon,Monday,March,3,2019Q1
300-71-4605,C,Naypyitaw,Member,Male,Electronic accessories,86.04,5,21.51,451.71,2019-02-25,11:24:00,Ewallet,430.2,4.7619,451.7099774145011,4.8,morning,Monday,February,2,2019Q1
371-85-5789,B,Mandalay,Normal,Male,Health and beauty,87.98,3,13.197,277.137,2019-03-05,10:40:00,Ewallet,263.94,4.7619,277.1369861431507,5.1,morning,Tuesday,March,3,2019Q1
273-16-6619,B,Mandalay,Normal,Male,Home and lifestyle,33.2,2,3.32,69.72,2019-03-15,12:20:00,Credit card,66.4,4.7619,69.71999651400017,4.4,afternoon,Friday,March,3,2019Q1
636-48-8204,A,Yangon,Normal,Male,Electronic accessories,34.56,5,8.64,181.44,2019-02-17,11:15:00,Ewallet,172.8,4.7619,181.43999092800047,9.9,morning,Sunday,February,2,2019Q1
549-59-1358,A,Yangon,Member,Male,Sports and travel,88.63,3,13.2945,279.1845,2019-03-02,17:36:00,Ewallet,265.89,4.7619,279.18448604077565,6.0,evening,Saturday,March,3,2019Q1
227-03-5010,A,Yangon,Member,Female,Home and lifestyle,52.59,8,21.036,441.756,2019-03-22,19:20:00,Credit card,420.72,4.7619,441.7559779122011,8.5,evening,Friday,March,3,2019Q1
649-29-6775,B,Mandalay,Normal,Male,Fashion accessories,33.52,1,1.676,35.196,2019-02-08,15:31:00,Cash,33.52,4.7619,35.19599824020009,6.7,afternoon,Friday,February,2,2019Q1
189-17-4241,A,Yangon,Normal,Female,Fashion accessories,87.67,2,8.767,184.107,2019-03-10,12:17:00,Credit card,175.34,4.7619,184.10699079465047,7.7,afternoon,Sunday,March,3,2019Q1
145-94-9061,B,Mandalay,Normal,Female,Food and beverages,88.36,5,22.09,463.89,2019-01-25,19:48:00,Cash,441.8,4.7619,463.88997680550114,9.6,evening,Friday,January,1,2019Q1
848-62-7243,A,Yangon,Normal,Male,Health and beauty,24.89,9,11.2005,235.2105,2019-03-15,15:36:00,Cash,224.01,4.7619,235.2104882394756,7.4,afternoon,Friday,March,3,2019Q1
871-79-8483,B,Mandalay,Normal,Male,Fashion accessories,94.13,5,23.5325,494.1825,2019-02-25,19:39:00,Credit card,470.65,4.7619,494.1824752908762,4.8,evening,Monday,February,2,2019Q1
149-71-6266,B,Mandalay,Member,Male,Sports and travel,78.07,9,35.1315,737.7615,2019-01-28,12:43:00,Cash,702.63,4.7619,737.7614631119268,4.5,afternoon,Monday,January,1,2019Q1
640-49-2076,B,Mandalay,Normal,Male,Sports and travel,83.78,8,33.512,703.752,2019-01-10,14:49:00,Cash,670.24,4.7619,703.7519648124018,5.1,afternoon,Thursday,January,1,2019Q1
595-11-5460,A,Yangon,Normal,Male,Health and beauty,96.58,2,9.658,202.818,2019-03-15,10:12:00,Credit card,193.16,4.7619,202.8179898591005,5.1,morning,Friday,March,3,2019Q1
183-56-6882,C,Naypyitaw,Member,Female,Food and beverages,99.42,4,19.884,417.564,2019-02-06,10:42:00,Ewallet,397.68,4.7619,417.563979121801,7.5,morning,Wednesday,February,2,2019Q1
232-16-2483,C,Naypyitaw,Member,Female,Sports and travel,68.12,1,3.406,71.526,2019-01-07,12:28:00,Ewallet,68.12,4.7619,71.52599642370018,6.8,afternoon,Monday,January,1,2019Q1
129-29-8530,A,Yangon,Member,Male,Sports and travel,62.62,5,15.655,328.755,2019-03-10,19:15:00,Ewallet,313.1,4.7619,328.75498356225086,7.0,evening,Sunday,March,3,2019Q1
272-65-1806,A,Yangon,Normal,Female,Electronic accessories,60.88,9,27.396,575.316,2019-01-15,17:17:00,Ewallet,547.92,4.7619,575.3159712342014,4.7,evening,Tuesday,January,1,2019Q1
333-73-7901,C,Naypyitaw,Normal,Female,Health and beauty,54.92,8,21.968,461.328,2019-03-23,13:24:00,Ewallet,439.36,4.7619,461.3279769336012,7.6,afternoon,Saturday,March,3,2019Q1
777-82-7220,B,Mandalay,Member,Male,Home and lifestyle,30.12,8,12.048,253.008,2019-03-03,13:01:00,Cash,240.96,4.7619,253.00798734960065,7.7,afternoon,Sunday,March,3,2019Q1
280-35-5823,B,Mandalay,Member,Female,Home and lifestyle,86.72,1,4.336,91.056,2019-01-17,18:45:00,Ewallet,86.72,4.7619,91.05599544720022,7.9,evening,Thursday,January,1,2019Q1
554-53-8700,C,Naypyitaw,Member,Male,Home and lifestyle,56.11,2,5.611,117.831,2019-02-02,10:11:00,Cash,112.22,4.7619,117.83099410845028,6.3,morning,Saturday,February,2,2019Q1
354-25-5821,B,Mandalay,Member,Female,Sports and travel,69.12,6,20.736,435.456,2019-02-08,13:03:00,Cash,414.72,4.7619,435.4559782272011,5.6,afternoon,Friday,February,2,2019Q1
228-96-1411,C,Naypyitaw,Member,Female,Food and beverages,98.7,8,39.48,829.08,2019-03-04,20:39:00,Cash,789.6,4.7619,829.0799585460021,7.6,evening,Monday,March,3,2019Q1
